Experiment,Epoch,Validation Loss,Accuracy
Shape CIFAR IID,1,0.022685957984924315,0.476
Shape CIFAR IID,2,0.020260382900238037,0.53792
Shape CIFAR IID,3,0.018657800650596617,0.58088
Shape CIFAR IID,4,0.017923229184150697,0.60008
Shape CIFAR IID,5,0.016935106892585754,0.62592
Shape CIFAR IID,6,0.017598599767684936,0.618
Shape CIFAR IID,7,0.01801075875759125,0.6244
Shape CIFAR IID,8,0.018860597949028016,0.634
Shape CIFAR IID,9,0.021672359790802002,0.6264
Shape CIFAR IID,10,0.022528842511177063,0.61536
Shape CIFAR IID,11,0.027696776823997498,0.61296
Shape CIFAR IID,12,0.028095670676231383,0.6084
Shape CIFAR IID,13,0.03046483244895935,0.60536
Shape CIFAR IID,14,0.0337785747051239,0.62152
Shape CIFAR IID,15,0.034434441833496095,0.62568
Shape CIFAR IID,16,0.0365088198852539,0.6136
Shape CIFAR IID,17,0.0405373130607605,0.6172
Shape CIFAR IID,18,0.04411126645088196,0.60568
Shape CIFAR IID,19,0.04121481418609619,0.61232
Shape CIFAR IID,20,0.04400728999137878,0.6056